Discount|OrderID|ProductID|Quantity|UnitPrice
0|10248|11|12|28,62
0|10248|42|10|14,04
0|10248|72|5|12,71
0|10249|14|9|22,8
0|10249|51|40|101,2
0|10250|41|10|9,59
0,15|10250|51|35|97,67
0,15|10250|65|15|9,47
0,05|10251|22|6|3,39
0,05|10251|57|15|21,12
0|10251|65|20|9,26
0,05|10252|20|40|75,93
0,05|10252|33|25|23,64
0|10252|60|40|4,55
0|10253|31|20|8,28
0|10253|39|42|57,95
0|10253|49|40|19,91
0,15|10254|24|15|4,52
0,15|10254|55|21|40,76
0|10254|74|21|29,4
0|10255|2|20|17,12
0|10255|16|35|9,17
0|10255|36|25|7,77
0|10255|59|30|7,83
0|10256|53|15|60,53
0|10256|77|12|13,5
0|10257|27|25|43,09
0|10257|39|6|54,84
0|10257|77|15|12,84
0,2|10258|2|50|20,02
0,2|10258|5|65|6,13
0,2|10258|32|6|19,35
0|10259|21|10|10,14
0|10259|37|1|4,37
0,25|10260|41|16|10,02
0|10260|57|50|18,58
0,25|10260|62|15|28,82
0,25|10260|70|21|29,37
0|10261|21|20|10,01
0|10261|35|20|6,56
0,2|10262|5|12|5,58
0|10262|7|15|38,3
0|10262|56|2|34,55
0,25|10263|16|60|9,46
0|10263|24|28|4,09
0,25|10263|30|60|26,57
0,25|10263|74|36|27,87
0|10264|2|35|20,55
0,15|10264|41|25|9,55
0|10265|17|30|23,9
0|10265|70|20|27,81
0,05|10266|12|12|10,16
0|10267|40|50|18,71
0,15|10267|59|70|8,66
0,15|10267|76|15|368,51
0|10268|29|10|117,3
0|10268|72|4|12,64
0,05|10269|33|60|27,4
0,05|10269|72|20|12,17
0|10270|36|30|7,78
0|10270|43|25|13,06
0|10271|33|24|24,06
0|10272|20|6|88,25
0|10272|31|40|7,81
0|10272|72|24|11,76
0,05|10273|10|24|6,88
0,05|10273|31|15|8,95
0|10273|33|20|25,45
0,05|10273|40|60|19,35
0,05|10273|76|33|412,16
0|10274|71|20|31,17
0|10274|72|7|11,99
