CustomerID|EmployeeID|Freight|OrderDate|OrderID|ShipperID
7|5|26,24|18-08-2014|10360|1
63|7|55,52|01-07-2015|10361|2
44|8|40,91|22-06-2012|10362|2
17|8|36,54|22-09-2014|10363|2
19|2|33,65|23-06-2012|10364|2
3|2|35,04|24-06-2012|10365|2
29|4|23,84|25-06-2012|10366|1
79|7|56,88|24-09-2014|10367|2
73|3|67,63|26-06-2012|10368|2
75|1|57,37|29-06-2012|10369|3
32|1|29,05|28-11-2012|10370|3
41|4|66,09|30-06-2012|10371|1
62|2|30,16|02-03-2015|10372|2
37|9|25,5|03-07-2015|10373|2
91|8|45,53|01-01-2012|10374|2
23|6|70,91|03-07-2012|10375|1
51|1|76,39|02-02-2014|10376|3
32|1|49,19|06-07-2012|10377|3
24|7|56,37|06-07-2014|10378|2
61|2|62,83|12-07-2012|10379|2
37|9|77,11|15-07-2015|10380|2
46|2|45,81|19-07-2012|10381|2
19|3|72,13|20-07-2012|10382|2
82|1|57,13|21-11-2014|10383|3
5|2|66,07|27-07-2012|10384|2
75|1|53,13|29-12-2014|10385|3
21|2|67,33|29-10-2014|10386|2
73|9|37,76|14-08-2014|10387|2
37|3|44,7|16-03-2013|10388|2
19|9|59,24|17-08-2013|10389|2
32|1|21,89|18-01-2013|10390|3
17|8|38,41|20-07-2013|10391|2
59|4|75,33|21-07-2013|10392|1
73|9|70,25|19-02-2013|10393|2
36|1|31,84|22-07-2013|10394|3
35|3|51,87|23-07-2013|10395|2
25|7|52,14|22-02-2015|10396|2
60|5|33,73|23-03-2015|10397|1
71|3|27,57|27-05-2013|10398|2
79|7|43,68|25-10-2013|10399|2
19|9|49,41|27-12-2012|10400|2
82|1|35,9|09-07-2013|10401|3
20|4|46,63|28-11-2012|10402|1
20|4|26,43|30-04-2013|10403|1
49|6|72,73|19-11-2012|10404|1
47|2|75,65|03-08-2012|10405|2
62|2|73,88|01-11-2013|10406|2
56|8|55,48|04-08-2012|10407|2
23|6|71,84|05-07-2013|10408|1
54|3|56,3|04-11-2012|10409|2
10|1|25,49|07-08-2012|10410|3
10|1|61,5|08-07-2015|10411|3
87|8|37,28|08-01-2013|10412|2
41|5|64,69|11-07-2013|10413|1
21|3|73,13|11-08-2012|10414|2
37|3|29,01|12-08-2012|10415|2
32|1|22,48|13-07-2013|10416|3
73|9|29,88|12-08-2014|10417|2
63|7|64,34|14-08-2013|10418|2
44|7|67,45|17-08-2013|10419|2
37|9|79,18|17-08-2014|10420|2
61|2|31,83|16-10-2012|10421|2
27|6|65,54|19-08-2012|10422|1
31|2|49,89|18-01-2013|10423|2
51|1|70,35|17-01-2014|10424|3
41|4|23,12|21-06-2013|10425|1
29|5|26,05|23-09-2014|10426|1
59|4|50,46|22-01-2013|10427|1
66|6|65,62|24-09-2014|10428|1
37|9|48,41|24-11-2012|10429|2
44|7|68,53|24-10-2013|10430|2
32|1|56,71|27-09-2012|10431|3
23|6|64,82|28-08-2012|10432|1
60|4|62,95|29-10-2012|10433|1
23|6|79,13|31-05-2013|10434|1
16|2|29,06|29-09-2012|10435|2
7|5|77,37|29-09-2013|10436|1
79|7|54,75|29-09-2013|10437|2
79|7|65,47|02-05-2014|10438|2
51|1|63,71|02-12-2012|10439|3
37|3|73,65|05-10-2012|10440|2
32|1|72,69|05-10-2012|10441|3
37|3|23,33|06-10-2012|10442|2
73|9|76,16|07-10-2012|10443|2
5|9|62,54|07-11-2012|10444|2
5|9|31,84|10-08-2013|10445|2
82|1|40,45|09-10-2012|10446|3
32|1|45,69|11-05-2013|10447|3
79|8|67,5|12-10-2012|10448|2
7|4|51,48|15-09-2012|10449|1
84|5|39,15|19-05-2013|10450|1
63|7|51,42|16-07-2013|10451|2
71|9|33,5|15-11-2012|10452|2
79|8|75,97|16-11-2012|10453|2
23|6|76,76|16-11-2012|10454|1
80|1|69,02|19-11-2012|10455|3
39|3|30,41|20-11-2012|10456|2
39|9|32,32|20-11-2012|10457|2
37|9|63,98|22-11-2014|10458|2
84|5|26,28|21-11-2013|10459|1
19|2|69,81|23-11-2012|10460|2
46|9|29,04|25-06-2013|10461|2
16|3|70,53|26-11-2012|10462|2
1|8|40,58|02-07-2015|10463|2
44|7|28,66|28-01-2014|10464|2
